Product Name;Store;Price;Title;Date;Flag Daily Best Price
RTX 4070 12GB;kabum;4000;Placa de Vídeo RTX 4070 1-Click OC 2X Black PCI-E Galax NVIDIA GeForce, 12GB GDDR6X, DLSS, G-Sync, Ray Tracing, 192 bits - 47NOM7MD8DDF;19-03-2024;False
RTX 4070 12GB;amazon;4137;Placa de Vídeo MSI RTX 4070 OC 12GB Ventus 2X - 912-V513-063;19-03-2024;False
RTX 4070 12GB;mercado_livre;4328;Placa De Vídeo Manli Nvidia Dual Fan Wt Rtx 4070 12gb 192b;19-03-2024;False
RTX 4070 12GB;terabyte;3890;Placa de Vídeo Galax NVIDIA GeForce RTX 4070 1-Click OC 2X, 12GB, GDDR6X, DLSS, Ray Tracing, 47NOM7MD8DDF;19-03-2024;True
RTX 4070 12GB;pichau;3890;Placa de Video Galax GeForce RTX 4070 1-Click OC 2X, 12GB, GDDR6X, 192-bit, 47NOM7MD8DDF;19-03-2024;False
RTX 4070 Ti 12GB;kabum;4890;Placa De Vídeo RTX 4070 TI Ventus 3x Trio Oc, MSI Nvidia, 12GB, DDR6, 192 Bits - 912-V513001;19-03-2024;True
RTX 4070 Ti 12GB;amazon;5549;Placa de Vídeo NVidia RTX4070TI Galax 12Gb GDDR6X 192Bits EX Gamer V2 47IOM7MD7ADT;19-03-2024;False
RTX 4070 Ti 12GB;mercado_livre;5809;Placa de vídeo Nvidia MSI  Ventus 3X GeForce RTX 40 Series RTX 4070 Ti GEFORCE RTX 4070 Ti VENTUS 3X 12G OC OC Edition 12GB;19-03-2024;False
RTX 4070 Ti 12GB;terabyte;5200;Placa de Vídeo Galax NVIDIA GeForce RTX 4070 Ti White 1-Click OC V2, 12GB, GDDR6X, DLSS, Ray Tracing, 47I;19-03-2024;False
RTX 4070 Ti 12GB;pichau;5260;Placa de Video MSI GeForce RTX 4070 Ti Ventus 3X OC, 12GB, GDDR6X, 192-bit, 912-V513-075;19-03-2024;False
